index,total,onset,offset,precision,recall,f1,der,work_dir
5097,9801,0.52,0.48,0.6490096800049326,0.5460031244674484,0.5930669726150236,0.7492803162567023,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p48
5100,9801,0.52,0.51,0.6568863699820762,0.5404315507456087,0.5929955836246235,0.7418538484134592,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p51
5099,9801,0.52,0.5,0.6538190791824486,0.542350756794816,0.592891179389731,0.7448104631379133,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p50
4901,9801,0.5,0.5,0.6487425116475697,0.5458264315398679,0.5928511906160326,0.7497078027315239,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p50
4910,9801,0.5,0.59,0.65060639127046,0.5443139860221632,0.5927326454442003,0.7479976641706269,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p59
4902,9801,0.5,0.51,0.6488762528539064,0.5454485183795992,0.5926839989516921,0.7497078027315238,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p51
5196,9801,0.53,0.48,0.6499691631514254,0.5446237192022823,0.592651485257237,0.7486749586544477,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p53_offset_0p48
4909,9801,0.5,0.58,0.6501722416905598,0.5444325470136199,0.5926226529279403,0.7485015483843183,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p58
4903,9801,0.5,0.52,0.6489655473525444,0.5451965762727535,0.5925724615372239,0.7497078027315238,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p52
4905,9801,0.5,0.54,0.6489655473525444,0.5451965762727535,0.5925724615372239,0.7497078027315238,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p54
5199,9801,0.53,0.51,0.6581856850604678,0.5387936751090048,0.5925353367958796,0.7410170152955092,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p53_offset_0p51
4916,9801,0.5,0.65,0.6511652167737811,0.543565569763592,0.5925200824391764,0.7476271610723244,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p65
5101,9801,0.52,0.52,0.6569917794621907,0.5395105245036004,0.5924835720873537,0.7421620180705034,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p52
4998,9801,0.51,0.48,0.646818582014294,0.5465658519832122,0.5924812479294573,0.751874712332132,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p51_offset_0p48
4904,9801,0.5,0.53,0.6489129027135749,0.5450706052193306,0.5924761041784788,0.7498337737849466,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p53
5198,9801,0.53,0.5,0.6548118216880437,0.5409713515296497,0.5924726892133383,0.7442051055356587,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p53_offset_0p50
4908,9801,0.5,0.57,0.6495737077499647,0.5445667210056391,0.5924533087779247,0.7492113285797983,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p57
5103,9801,0.52,0.54,0.6569716072669509,0.5394112000330075,0.5924154725413564,0.7422346959582664,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p54
5108,9801,0.52,0.59,0.658498033244512,0.5383759921461643,0.5924090997940938,0.7408297926698749,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p59
4911,9801,0.5,0.6,0.6505026990134641,0.5438175118704378,0.592395165080053,0.7483607572069633,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p60
5200,9801,0.53,0.52,0.659196786966235,0.5378726488669965,0.5923865589022318,0.7402062655956798,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p53_offset_0p52
5098,9801,0.52,0.49,0.6507976508370226,0.5435914901603494,0.5923832571283068,0.7480866145544673,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p49
5106,9801,0.52,0.57,0.6576311820080841,0.538880669236486,0.5923630946115227,0.741665543918778,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p57
4907,9801,0.5,0.56,0.649284120224759,0.5445741310676053,0.5923372145807678,0.749581831678101,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p56
5102,9801,0.52,0.53,0.6569189699059443,0.5392852289795845,0.5923180965872228,0.7423606670116892,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p53
5001,9801,0.51,0.51,0.6535832439006941,0.5415352127848942,0.5923067108175669,0.7454930632261022,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p51_offset_0p51
